dummy_businesspersonalities,dummy_celebrities,dummy_entertainmentleisurebusiness,dummy_hiphop,dummy_music,dummy_nbaplayers,dummy_news,dummy_politics,dummy_sports,dummy_sportsfigures,dummy_sportsfitnessbusiness,dummy_television,hashtags_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_sentiment,followers_count
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0.0,4676387
0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,149,0,0.8689,4676387
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,196,0,0.8908,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.2023,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,119,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0.5473,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0.7027,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0,0.8012,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,160,0,0.2905,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,0.2263,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,138,1,0.6908,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,199,1,-0.09,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0.6369,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,2,0.3818,4676387
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51,0,0.2263,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,103,0,0.0258,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0.6496,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0.8682,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,290,1,0.6124,4676387
0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,188,0,0.6249,4676387
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,68,0,0.2732,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,169,1,0.7964,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0.7351,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,0,0.7964,4676387
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,179,0,0.3802,4676387
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,32,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0.6369,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,287,0,0.498,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,167,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,47,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,162,0,-0.6597,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,-0.296,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,-0.8225,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0.5859,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0.9601,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,118,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0.3182,4676387
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,128,0,0.6809,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,109,0,-0.6478,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,42,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,93,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,235,1,-0.3541,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0.9595,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,0,0.6248,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,99,0,0.6249,4676387
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0.4404,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,266,0,0.9136,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,216,1,0.2782,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,113,0,0.6341,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,1,0.6239,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,70,0,0.7579,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,136,0,0.765,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,-0.5622,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,0,0.3724,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,1,0.8442,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0.5719,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,209,1,0.874,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,200,0,-0.6542,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0.4019,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,103,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,53,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,265,0,0.9118,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,295,2,0.8653,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,81,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,62,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0.6369,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,1,0.836,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,0.6114,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.5719,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,270,1,-0.7128,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,-0.296,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,239,0,0.5994,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,245,1,0.8131,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,0.0,4676387
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70,0,0.8494,4676387
