dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_jeanlucmlenchon,dummy_nikosaliagas,dummy_politicalfigures,dummy_soccer,hashtags_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,followers_count,impression_count
0,0,0,1,0,0,0,1,0,12,0,1684626,1295
0,0,0,1,0,0,0,1,0,18,0,1684626,1533
1,0,0,1,0,0,0,3,0,36,0,1684626,128
0,0,0,1,0,0,1,0,0,90,1,1684626,22656
0,0,0,1,0,0,0,1,0,18,0,1684626,1289
0,0,0,1,0,0,0,1,0,17,0,1684626,1437
1,0,0,1,0,0,2,1,0,76,1,1684626,24950
0,0,0,1,0,0,0,2,1,87,0,1684626,10201
0,1,0,1,0,0,0,3,0,46,0,1684626,3720
0,0,0,1,0,0,1,3,0,127,1,1684626,36255
0,0,0,1,0,0,0,3,0,46,0,1684626,3912
1,1,0,1,0,0,0,7,0,92,0,1684626,120
0,0,0,1,0,0,0,1,0,17,0,1684626,2223
1,0,0,1,0,0,0,2,0,18,0,1684626,3734
1,1,0,1,0,0,1,6,1,293,0,1684626,32139
0,0,0,1,0,0,0,0,1,50,0,1684626,5908
0,0,0,1,0,0,5,0,1,72,0,1684626,7567
0,1,0,1,0,0,0,6,0,85,0,1684626,3701
1,0,0,1,0,0,1,4,1,178,0,1684626,9433
1,0,0,1,0,0,3,4,1,187,0,1684626,6835
0,0,0,1,0,0,1,0,1,39,0,1684626,10218
0,0,0,1,0,0,3,0,1,68,0,1684626,11017
0,0,0,1,0,0,3,0,1,97,0,1684626,6757
0,1,0,1,0,0,1,0,1,57,0,1684626,5190
0,0,0,1,0,0,0,0,1,50,0,1684626,5384
0,0,0,1,0,0,0,2,0,22,0,1684626,4237
0,0,0,1,0,0,3,0,1,52,0,1684626,6132
0,1,0,1,0,0,0,3,0,38,0,1684626,4056
0,0,0,1,0,0,0,3,0,40,0,1684626,436
0,0,0,1,0,0,3,2,1,199,0,1684626,19533
0,0,0,1,0,0,0,2,0,33,0,1684626,252
0,0,0,1,0,0,1,2,0,290,0,1684626,5601
1,0,0,1,0,0,0,3,0,74,0,1684626,7556
0,0,0,1,0,0,8,0,1,180,0,1684626,7632
1,0,0,1,0,0,1,1,1,81,0,1684626,35162
0,0,0,1,0,0,0,2,1,157,0,1684626,21365
0,0,0,1,0,0,5,0,1,72,0,1684626,12765
0,0,0,1,0,0,0,1,0,18,0,1684626,4438
0,0,0,1,0,0,0,0,1,50,0,1684626,12616
0,0,0,1,0,0,5,0,1,248,0,1684626,9580
1,0,0,1,0,0,0,2,0,18,0,1684626,7197
1,0,0,1,0,0,0,3,1,178,0,1684626,10807
1,0,0,1,0,0,0,4,0,108,1,1684626,32111
1,0,0,1,0,0,2,4,1,240,0,1684626,11335
0,0,0,1,0,0,5,1,1,91,0,1684626,6600
0,0,0,1,0,0,2,0,1,83,0,1684626,6437
0,0,0,1,0,0,0,0,1,50,0,1684626,7365
0,0,0,1,0,0,1,2,1,50,0,1684626,14875
0,0,0,1,0,0,0,2,0,24,0,1684626,2963
0,0,0,1,0,0,0,1,0,13,0,1684626,2921
0,0,0,1,0,0,0,2,0,24,0,1684626,4898
1,0,0,1,0,0,2,1,1,118,0,1684626,7167
1,1,0,1,1,0,0,2,1,277,0,1684626,11635
0,0,0,1,0,0,9,0,1,193,0,1684626,5721
0,0,0,1,0,0,0,2,0,23,0,1684626,3171
0,0,0,1,0,0,6,0,0,175,3,1684626,17740
1,0,0,1,0,0,3,2,1,241,0,1684626,44188
0,0,0,1,0,0,0,1,0,35,0,1684626,7349
0,0,0,1,0,0,0,5,0,119,1,1684626,1100
0,0,0,1,0,0,6,0,0,178,2,1684626,12439
0,0,0,1,0,0,0,0,1,143,0,1684626,8760
0,0,0,1,0,0,0,4,0,214,0,1684626,6681
0,0,0,1,0,0,0,3,0,42,0,1684626,4562
0,0,0,1,0,0,0,1,0,13,0,1684626,6698
0,0,0,1,0,0,0,4,0,51,0,1684626,5164
0,0,0,1,0,0,8,0,0,118,1,1684626,15420
0,0,0,1,0,0,0,1,1,69,0,1684626,11027
0,0,0,1,0,0,3,1,1,138,0,1684626,7945
0,0,0,1,0,0,3,0,1,93,0,1684626,9510
0,0,0,1,0,0,6,0,1,245,0,1684626,11791
0,0,0,1,0,0,0,0,1,50,0,1684626,3667
0,0,0,1,0,0,0,1,0,20,0,1684626,2580
1,0,0,1,0,0,2,3,1,151,0,1684626,5584
1,0,0,1,0,0,1,3,0,94,1,1684626,15070
1,0,0,1,0,0,1,1,0,77,1,1684626,28661
0,0,0,1,0,0,3,0,1,197,0,1684626,2805
0,0,0,1,0,0,1,3,1,139,0,1684626,52949
0,0,0,1,0,0,3,0,1,129,0,1684626,4638
0,0,0,1,0,0,0,3,0,67,1,1684626,124
1,0,0,1,0,0,1,1,1,76,0,1684626,18811
0,0,0,1,0,0,5,2,1,227,0,1684626,12189
1,1,0,1,0,0,1,1,0,85,1,1684626,44585
0,0,0,1,0,0,4,0,1,198,0,1684626,6915
1,0,0,1,0,0,4,2,1,169,0,1684626,6523
1,0,0,1,0,0,1,8,0,162,0,1684626,4682
0,0,0,1,0,0,0,1,0,120,1,1684626,174097
0,0,0,1,0,0,1,1,1,250,0,1684626,15546
0,0,0,1,0,0,3,0,1,172,0,1684626,2912
0,0,0,1,0,0,1,0,1,66,0,1684626,8266
0,0,0,1,0,0,0,1,0,17,0,1684626,3270
0,1,0,1,0,0,1,2,0,71,1,1684626,329781
0,0,0,1,0,0,0,3,0,45,0,1684626,2875
0,0,0,1,0,0,0,1,0,19,0,1684626,3077
0,0,0,1,0,0,0,3,0,52,0,1684626,4864
0,0,0,1,0,0,2,0,1,65,0,1684626,5572
0,0,0,1,0,0,0,1,1,74,0,1684626,8163
1,0,0,1,0,0,0,4,0,40,0,1684626,104
0,0,0,1,0,0,0,0,1,56,0,1684626,11634
0,0,0,1,0,0,4,0,1,117,0,1684626,8244
0,0,0,1,0,0,1,1,1,110,0,1684626,6258
0,1,0,1,0,0,2,0,1,136,0,1684626,6445
0,0,0,1,0,0,0,1,1,138,0,1684626,3842
0,0,0,1,0,0,1,1,1,161,0,1684626,4924
0,0,0,1,0,0,0,0,1,84,0,1684626,4567
0,0,0,1,0,0,0,0,1,50,0,1684626,4828
0,0,0,1,0,0,0,1,1,89,0,1684626,4102
0,0,0,1,0,0,1,1,1,96,0,1684626,3094
1,1,0,1,0,0,0,3,1,98,0,1684626,9542
0,0,0,1,0,0,2,0,1,272,0,1684626,9746
0,0,0,1,0,0,0,1,1,75,0,1684626,4430
0,0,0,1,0,0,1,1,0,32,0,1684626,1407
0,0,0,1,0,0,0,1,0,39,0,1684626,2569
0,0,0,1,0,0,1,0,1,135,0,1684626,4394
0,0,0,1,0,0,0,0,1,94,0,1684626,5100
0,0,0,1,0,0,1,0,1,277,0,1684626,5412
0,0,0,1,0,0,0,1,1,91,0,1684626,4187
0,0,0,1,0,0,0,1,0,18,0,1684626,2879
0,0,0,1,0,0,0,1,0,19,0,1684626,5647
0,0,0,1,0,0,0,2,0,141,0,1684626,5959
0,0,0,1,0,0,0,0,1,50,0,1684626,7879
0,0,0,1,0,0,4,0,1,74,0,1684626,5529
0,0,0,1,0,0,1,0,1,89,0,1684626,4797
0,0,0,1,0,0,1,0,1,253,0,1684626,10689
0,0,0,1,0,0,0,2,1,124,0,1684626,5269
1,0,0,1,0,0,3,3,1,193,0,1684626,4123
0,0,0,1,0,0,0,4,0,55,0,1684626,2293
0,0,0,1,0,0,2,0,1,162,0,1684626,3338
0,0,0,1,0,0,1,0,1,56,0,1684626,4420
0,0,0,1,0,0,1,0,0,137,1,1684626,34621
0,0,0,1,0,0,0,1,1,110,0,1684626,4707
0,0,0,1,0,0,1,0,1,277,0,1684626,6269
0,0,0,1,0,0,0,1,1,112,0,1684626,4314
0,0,0,1,0,0,1,0,1,276,0,1684626,5329
0,0,0,1,0,0,1,0,1,66,0,1684626,5217
0,0,0,1,0,0,1,0,1,77,0,1684626,5029
0,0,0,1,0,0,0,1,1,99,0,1684626,4805
0,0,0,1,0,0,2,0,1,70,0,1684626,6392
0,0,0,1,0,0,0,0,1,59,0,1684626,6573
0,0,0,1,0,0,1,0,1,146,0,1684626,4320
0,0,0,1,0,0,1,0,1,133,0,1684626,4426
0,1,0,1,0,0,0,12,0,184,0,1684626,5963
0,0,0,1,0,0,0,2,0,94,0,1684626,265
0,0,0,1,0,0,0,2,0,25,0,1684626,2237
0,0,0,1,0,0,0,0,1,259,0,1684626,6539
1,1,0,1,0,0,2,3,1,162,0,1684626,2174
0,0,0,1,0,0,0,1,1,125,0,1684626,5015
0,0,0,1,0,0,0,2,0,36,0,1684626,3096
0,1,0,1,0,0,3,0,1,89,0,1684626,2407
0,0,0,1,0,0,1,2,1,125,0,1684626,3443
0,0,0,1,0,0,0,1,1,103,0,1684626,4247
0,0,0,1,0,0,0,0,1,50,0,1684626,2460
0,0,0,1,0,0,0,0,1,50,0,1684626,2402
0,0,0,1,0,0,0,1,1,107,0,1684626,6260
0,0,0,1,0,0,0,1,1,78,0,1684626,7998
1,0,0,1,0,0,0,3,1,213,0,1684626,6331
0,0,0,1,0,0,3,0,1,78,0,1684626,9771
0,0,0,1,0,0,0,1,0,34,0,1684626,4864
0,0,0,1,0,0,1,0,1,68,0,1684626,5792
0,0,0,1,0,0,1,0,1,277,0,1684626,14910
0,0,0,1,0,0,2,1,0,129,2,1684626,5209
0,0,0,1,0,0,0,1,1,268,0,1684626,6649
0,0,0,1,0,0,1,0,1,275,0,1684626,5078
0,0,0,1,0,0,1,2,1,189,0,1684626,5204
